[13:27:18.283][info] Environment started  [306/720 mB]
[13:27:18.374][info] status: 0.00%  complete : sim time = 0.00 : jumps = 0  [311/720 mB]
[13:27:23.285][info] monitor : 0.52% complete : sim time = 0.18 : jumps = 4405  [520/1488 mB]
[13:27:28.287][info] monitor : 0.68% complete : sim time = 0.24 : jumps = 11418  [518/1491 mB]
[13:27:33.288][info] monitor : 0.81% complete : sim time = 0.28 : jumps = 17360  [892/1541 mB]
[13:27:38.289][info] monitor : 0.94% complete : sim time = 0.33 : jumps = 23709  [332/1540 mB]
[13:27:43.290][info] monitor : 1.07% complete : sim time = 0.38 : jumps = 29818  [1026/1527 mB]
[13:27:48.291][info] monitor : 1.19% complete : sim time = 0.42 : jumps = 35060  [1033/1666 mB]
[13:27:53.292][info] monitor : 1.33% complete : sim time = 0.46 : jumps = 41430  [757/1639 mB]
[13:27:58.293][info] monitor : 1.46% complete : sim time = 0.51 : jumps = 47371  [345/1550 mB]
